,Directorate,Division,Grants,Est. Budget,Est. Outlays,Est. Remaining
0,STEM Education,Equity for Excellence in STEM,436,"$618,678,198","$280,220,942","$338,457,256"
1,STEM Education,Research on Learning in Formal and Informal Settings,211,"$248,241,906","$110,962,986","$137,278,920"
2,"Technology, Innovation and Partnerships","Technology, Innovation and Partnerships",29,"$49,156,117","$27,367,414","$21,788,703"
3,"Social, Behavioral and Economic Sciences",Social and Economic Sciences,142,"$45,421,107","$26,252,262","$19,168,845"
4,Geosciences,"Research, Innovation, Synergies, and Education",41,"$44,538,264","$13,403,386","$31,134,878"
5,STEM Education,Graduate Education,41,"$38,497,499","$15,115,696","$23,381,803"
6,STEM Education,Undergraduate Education,49,"$36,487,729","$14,659,596","$21,828,133"
7,Computer and Information Science and Engineering,Computer and Network Systems,53,"$32,340,598","$20,577,081","$11,763,517"
8,Engineering,Engineering Education and Centers,71,"$31,905,156","$14,524,676","$17,380,480"
9,Biological Sciences,Biological Infrastructure,36,"$24,910,322","$12,384,746","$12,525,576"
10,"Social, Behavioral and Economic Sciences",Behavioral and Cognitive Sciences,62,"$19,917,096","$13,465,947","$6,451,149"
11,Computer and Information Science and Engineering,Computing and Communication Foundations,7,"$17,299,106","$2,400,525","$14,898,581"
12,"Social, Behavioral and Economic Sciences",Multidisciplinary Activities,47,"$11,630,412","$5,959,412","$5,671,000"
13,"Technology, Innovation and Partnerships",Translational Impacts,14,"$11,008,665","$6,111,667","$4,896,998"
14,Computer and Information Science and Engineering,Information and Intelligent Systems,20,"$8,867,331","$6,242,336","$2,624,995"
15,Engineering,"Civil, Mechanical and Manufacturing Innovation",19,"$5,258,836","$2,274,852","$2,983,984"
16,Office of the Director,International Science and Engineering,7,"$4,859,738","$1,883,133","$2,976,605"
17,Mathematical and Physical Sciences,Mathematical Sciences,15,"$4,858,160","$2,806,357","$2,051,803"
18,Engineering,"Chemical, Bioengineering, Environmental and Transport Systems",6,"$4,020,418","$1,366,837","$2,653,581"
19,Geosciences,Earth Sciences,7,"$3,760,601","$1,352,898","$2,407,703"
20,Geosciences,Ocean Sciences,8,"$3,686,993","$2,418,255","$1,268,738"
21,Biological Sciences,Environmental Biology,6,"$3,506,484","$1,878,536","$1,627,948"
22,Geosciences,Polar Programs,7,"$2,728,081","$1,293,055","$1,435,026"
23,Biological Sciences,Molecular and Cellular Biosciences,3,"$2,585,021","$1,173,873","$1,411,148"
24,Mathematical and Physical Sciences,Chemistry,3,"$2,583,730","$863,372","$1,720,358"
25,Office of the Director,Integrative Activities,2,"$1,861,043","$1,269,784","$591,259"
26,Mathematical and Physical Sciences,Materials Research,4,"$1,587,132","$935,419","$651,713"
27,Mathematical and Physical Sciences,MPS Multidisciplinary Activities,1,"$1,196,064","$910,382","$285,682"
28,Geosciences,Atmospheric and Geospace Sciences,2,"$1,030,271","$266,528","$763,743"
29,Mathematical and Physical Sciences,Physics,8,"$959,532","$426,724","$532,808"
30,Computer and Information Science and Engineering,Office of Advanced Cyberinfrastructure,1,"$458,164","$328,967","$129,197"
31,Mathematical and Physical Sciences,Astronomical Sciences,1,"$247,686","$78,503","$169,183"
32,Biological Sciences,Emerging Frontiers and Multidisciplinary Activities,1,"$109,940","$49,855","$60,085"
33,Biological Sciences,Integrative Organismal Systems,1,"$53,487","$34,677","$18,810"
34,TOTAL,,1361,"$1,284,250,887","$591,260,679","$692,990,208"
